2019-11-18,Fordham,70,Columbia,69
2019-11-18,Georgia Southern,80,Montana,77
2019-11-18,Georgetown,76,South Florida,73
2019-11-18,Hawaii,85,Northern Arizona,68
2019-11-18,Holy Cross,57,Siena,45
2019-11-18,Jacksonville,74,Chattanooga,66
2019-11-18,Kansas St,64,Penn,48
2019-11-18,Kent St,79,Alcorn St,48
2019-11-18,Kentucky,92,VMI,82
2019-11-18,Loyola Marymount,65,Ohio,56
2019-11-18,UMass Lowell,94,Sacred Heart,90
2019-11-18,Manhattan,54,UNC Asheville,38
2019-11-18,Maryland,92,Mount St. Mary's,77
2019-11-18,Michigan,66,Providence,47
2019-11-18,Michigan St,101,Tennessee Tech,33
2019-11-18,Minnesota,69,Texas A&M,64
2019-11-18,Missouri,69,Oregon St,63
2019-11-18,North Dakota St,76,Towson,51
2019-11-18,Northern Kentucky,89,Coastal Carolina,83
2019-11-18,Navy,83,Bryant,79
2019-11-18,Ohio St,89,South Carolina St,61
2019-11-18,Oklahoma,75,Wofford,64
2019-11-18,Oklahoma St,70,College of Charleston,58
2019-11-18,Pepperdine,86,Miami OH,80
2019-11-18,Samford,73,Cleveland St,60
2019-11-18,San Francisco,84,LIU Brooklyn,52
2019-11-18,South Carolina,90,George Washington,55
2019-11-18,Southern Utah,73,Seattle,70
2019-11-18,St. Francis NY,84,Lafayette,72
2019-11-18,Troy,82,Central Arkansas,77
2019-11-18,UCF,78,Western Kentucky,62
2019-11-18,UT Arlington,68,UC Davis,59
2019-11-18,Virginia Tech,89,Purdue,83
2019-11-18,Wake Forest,69,Valparaiso,63
2019-11-18,Washington,82,Santa Clara,68
2019-11-18,West Virginia,97,Saint Joseph's,90
2019-11-19,Arizona,71,Iowa St,66
2019-11-19,Arizona St,72,Mississippi St,67
2019-11-19,Auburn,88,Xavier,79
2019-11-19,Boston College,88,Wyoming,76
2019-11-19,Bowling Green,81,Hampton,79
2019-11-19,Charlotte,42,Longwood,39
2019-11-19,Cincinnati,78,Western Michigan,52
2019-11-19,Clemson,72,Akron,69
